id,scr_portcall_id,scr_portcall_type,pilotage_cst_dt_time,pilotage_nm,pilotage_imo,pilotage_snapshot_dt,pilotage_end_dt_time,pilotage_arrival_dt_time,pilotage_loc_from_code,pilotage_loc_to_code,pilotage_start_dt_time,pilotage_onboard_dt_time,created_at,updated_at
327107,NA,NA,2024-08-24T23:30:00Z,HMM GAON,9869174,2024-08-24T23:25:01Z,NA,NA,PWBGA,P28,NA,NA,2024-08-24T23:25:14Z,2024-08-24T23:25:14Z
1183,NA,NA,2024-05-17T08:30:00Z,KOTA KAYA,9307401,2024-05-15T21:55:01Z,NA,NA,B06,SEAE,NA,NA,2024-05-15T21:55:16Z,2024-05-15T21:55:16Z
176238,NA,NA,2024-07-08T06:15:00Z,SRI KHIRI CHAD,9794795,2024-07-08T06:55:01Z,NA,2024-07-08T05:55:00Z,PEBGC,AWPA,2024-07-08T06:15:00Z,2024-07-08T06:10:00Z,2024-07-08T06:55:17Z,2024-07-08T06:55:17Z
280899,NA,NA,2024-08-10T23:30:00Z,FENG LI HAI,9747534,2024-08-10T21:55:02Z,NA,NA,PEBGC,AESPA,NA,NA,2024-08-10T21:55:22Z,2024-08-10T21:55:22Z
299314,NA,NA,2024-08-18T15:00:00Z,WAN HAI 328,9871505,2024-08-16T07:55:01Z,NA,NA,PEBGA,B04,NA,NA,2024-08-16T07:55:19Z,2024-08-16T07:55:19Z
55835,NA,NA,2024-06-04T12:00:00Z,XIN XIE,9233480,2024-06-02T03:25:02Z,NA,NA,PEBGC,AEBC,NA,NA,2024-06-02T03:25:19Z,2024-06-02T03:25:19Z
30604,NA,NA,2024-05-24T17:00:00Z,HMM GARNET,9944455,2024-05-24T17:25:01Z,NA,2024-05-24T16:50:00Z,P23,SEAE,2024-05-24T17:00:00Z,2024-05-24T16:50:00Z,2024-05-24T17:25:13Z,2024-05-24T17:25:13Z
366662,NA,NA,2024-09-05T14:00:00Z,LR2 APHRODITE,9742211,2024-09-05T13:55:01Z,NA,2024-09-05T13:40:00Z,AEPA,OBH2,NA,2024-09-05T13:40:00Z,2024-09-05T13:55:06Z,2024-09-05T13:55:06Z
305488,NA,NA,2024-08-18T04:30:00Z,ZHONG SHENG 1,8580680,2024-08-18T05:25:01Z,2024-08-18T04:55:00Z,2024-08-18T04:00:00Z,APCDG,SEAW,2024-08-18T04:30:00Z,2024-08-18T04:30:00Z,2024-08-18T05:25:17Z,2024-08-18T05:25:17Z
35885,NA,NA,2024-05-26T08:00:00Z,FICUS,9342762,2024-05-26T08:25:02Z,NA,2024-05-26T08:05:00Z,PEBGC,AESPA,2024-05-26T08:05:00Z,2024-05-26T08:05:00Z,2024-05-26T08:25:18Z,2024-05-26T08:25:18Z
317297,NA,NA,2024-08-21T21:00:00Z,CLIPPER KENT,9508847,2024-08-21T20:25:01Z,2024-08-21T20:15:00Z,2024-08-21T19:35:00Z,AEBB,SEAE,2024-08-21T19:40:00Z,2024-08-21T19:35:00Z,2024-08-21T20:25:14Z,2024-08-21T20:25:14Z
134090,NA,NA,2024-06-28T04:15:00Z,SYMI,9669407,2024-06-25T14:25:01Z,NA,NA,PEBGB,AEBB,NA,NA,2024-06-25T14:25:19Z,2024-06-25T14:25:19Z
80106,NA,NA,2024-06-12T00:00:00Z,MAERSK NACKA,9893864,2024-06-09T07:55:01Z,NA,NA,T203,P10,NA,NA,2024-06-09T07:55:20Z,2024-06-09T07:55:20Z
114283,NA,NA,2024-06-21T14:00:00Z,MSC LANGSAR,9439735,2024-06-19T16:55:01Z,NA,NA,T210,P15,NA,NA,2024-06-19T16:55:19Z,2024-06-19T16:55:19Z
327865,NA,NA,2024-08-25T09:00:00Z,DANUM 175,9248930,2024-08-25T03:55:01Z,NA,NA,PEBGA,P32,NA,NA,2024-08-25T03:55:19Z,2024-08-25T03:55:19Z
336337,NA,NA,2024-08-27T19:45:00Z,SSI RESOLUTE,9918755,2024-08-27T20:25:01Z,NA,2024-08-27T19:35:00Z,AESPA,SEAW,2024-08-27T20:00:00Z,2024-08-27T19:55:00Z,2024-08-27T20:25:11Z,2024-08-27T20:25:11Z
30142,NA,NA,2024-05-24T13:00:00Z,SCORPIUS,9264893,2024-05-24T13:25:01Z,NA,2024-05-24T12:45:00Z,AEBA,SEAE,2024-05-24T12:55:00Z,2024-05-24T12:55:00Z,2024-05-24T13:25:13Z,2024-05-24T13:25:13Z
101490,NA,NA,2024-06-15T22:00:00Z,SILVER VENUS,9692375,2024-06-15T21:25:01Z,NA,NA,OJPT3,OBV1,NA,NA,2024-06-15T21:25:20Z,2024-06-15T21:25:20Z
5727,NA,NA,2024-05-17T04:00:00Z,LADY GWENDOLINE,9939371,2024-05-17T04:25:01Z,NA,2024-05-17T03:50:00Z,PJSB,AEBA,2024-05-17T04:15:00Z,2024-05-17T04:05:00Z,2024-05-17T04:25:15Z,2024-05-17T04:25:15Z
328559,NA,NA,2024-08-27T04:30:00Z,SFL MAUI,9635688,2024-08-25T07:55:01Z,NA,NA,P09,SEA7,NA,NA,2024-08-25T07:55:17Z,2024-08-25T07:55:17Z
359802,NA,NA,2024-09-03T17:00:00Z,BLOSSOM,9449558,2024-09-03T15:55:01Z,NA,NA,OTK10,AWPA,NA,NA,2024-09-03T15:55:12Z,2024-09-03T15:55:12Z
296301,NA,NA,2024-08-16T17:30:00Z,RACHA BHUM,9236561,2024-08-15T10:25:01Z,NA,NA,PEBGA,P02,NA,NA,2024-08-15T10:25:25Z,2024-08-15T10:25:25Z
120477,NA,NA,2024-06-21T14:00:00Z,MSC FELIXSTOWE,9290402,2024-06-21T12:55:01Z,NA,NA,PWBGA,T206,NA,NA,2024-06-21T12:55:22Z,2024-06-21T12:55:22Z
153186,NA,NA,2024-07-01T03:00:00Z,MAJESTY,9908566,2024-07-01T03:55:02Z,2024-07-01T03:30:00Z,2024-07-01T02:25:00Z,OSV10,DGA,2024-07-01T03:20:00Z,2024-07-01T02:35:00Z,2024-07-01T03:55:16Z,2024-07-01T03:55:16Z
228577,NA,NA,2024-07-25T17:00:00Z,LILA TOCHIGI,9683116,2024-07-25T17:25:01Z,NA,2024-07-25T16:40:00Z,PEBGB,AEW,2024-07-25T17:00:00Z,2024-07-25T16:55:00Z,2024-07-25T17:25:21Z,2024-07-25T17:25:21Z
238803,NA,NA,2024-07-30T08:00:00Z,OOCL HONG KONG,9776171,2024-07-29T03:25:01Z,NA,NA,PWBGA,P31,NA,NA,2024-07-29T03:25:21Z,2024-07-29T03:25:21Z
351907,NA,NA,2024-09-02T03:45:00Z,EVER GLOBE,9786841,2024-09-01T10:25:01Z,NA,NA,PEBGA,P39,NA,NA,2024-09-01T10:25:06Z,2024-09-01T10:25:06Z
135408,NA,NA,2024-06-26T07:30:00Z,DREAM TEAM,9875147,2024-06-26T01:55:01Z,NA,NA,PEBGB,AEBC,NA,NA,2024-06-26T01:55:19Z,2024-06-26T01:55:19Z
355754,NA,NA,2024-09-02T11:30:00Z,CLEMENS OLDENDORFF,9474618,2024-09-02T11:55:02Z,NA,2024-09-02T11:10:00Z,PEBGC,AEBB,2024-09-02T11:25:00Z,2024-09-02T11:15:00Z,2024-09-02T11:55:07Z,2024-09-02T11:55:07Z
297443,NA,NA,2024-08-15T20:00:00Z,BIENDONG MARINER,9279214,2024-08-15T19:55:01Z,NA,NA,P28,SEAW,NA,NA,2024-08-15T19:55:20Z,2024-08-15T19:55:20Z
54229,NA,NA,2024-06-01T17:00:00Z,ONE MANHATTAN,9689615,2024-06-01T14:55:01Z,NA,NA,PWBGA,P24,NA,NA,2024-06-01T14:55:18Z,2024-06-01T14:55:18Z
152857,NA,NA,2024-07-01T14:45:00Z,AFRICAN BAZA,9738753,2024-07-01T02:25:01Z,NA,NA,AEW,SEAE,NA,NA,2024-07-01T02:25:20Z,2024-07-01T02:25:20Z
203205,NA,NA,2024-07-18T02:00:00Z,EAGLE ASIA 08,9736509,2024-07-18T02:55:01Z,NA,2024-07-18T01:10:00Z,OSK2,SEAE,2024-07-18T02:20:00Z,2024-07-18T01:10:00Z,2024-07-18T02:55:20Z,2024-07-18T02:55:20Z
310282,NA,NA,2024-08-19T15:00:00Z,SEA LONGEVITY,9711092,2024-08-19T15:25:01Z,NA,NA,ASPLU,OTS6W,NA,NA,2024-08-19T15:25:16Z,2024-08-19T15:25:16Z
257874,NA,NA,2024-08-04T02:00:00Z,OOCL BELGIUM,9169419,2024-08-04T01:25:01Z,NA,NA,PEBGA,P32,NA,NA,2024-08-04T01:25:21Z,2024-08-04T01:25:21Z
28873,NA,NA,2024-05-24T02:30:00Z,SAKURA CREST,9568512,2024-05-24T05:25:01Z,2024-05-24T05:15:00Z,2024-05-24T02:25:00Z,ASSPU,OVPJ1,2024-05-24T02:35:00Z,2024-05-24T02:30:00Z,2024-05-24T05:25:15Z,2024-05-24T05:25:15Z
69266,NA,NA,2024-06-07T14:00:00Z,ANGLO RED,9660578,2024-06-06T01:25:01Z,NA,NA,PEBGC,AEBB,NA,NA,2024-06-06T01:25:15Z,2024-06-06T01:25:15Z
48453,NA,NA,2024-05-31T13:30:00Z,VALENCE,9304693,2024-05-30T22:25:01Z,NA,NA,AEW,P18,NA,NA,2024-05-30T22:25:17Z,2024-05-30T22:25:17Z
237995,NA,NA,2024-07-29T03:45:00Z,METEOR,9548586,2024-07-28T21:55:01Z,NA,NA,AEBC,SEAW,NA,NA,2024-07-28T21:55:21Z,2024-07-28T21:55:21Z
71452,NA,NA,2024-06-06T15:00:00Z,W BLOSSOM,9542922,2024-06-06T15:25:01Z,NA,2024-06-06T15:10:00Z,AESPA,SEAE,NA,2024-06-06T15:20:00Z,2024-06-06T15:25:18Z,2024-06-06T15:25:18Z
232120,NA,NA,2024-07-27T04:30:00Z,SERENITY BLUE,9903982,2024-07-27T00:55:01Z,NA,NA,AWW,SEAE,NA,NA,2024-07-27T00:55:19Z,2024-07-27T00:55:19Z
140270,NA,NA,2024-06-27T12:00:00Z,CHANG HANG XING YUN,9352250,2024-06-27T08:25:01Z,NA,NA,AEPA,SEAW,NA,NA,2024-06-27T08:25:16Z,2024-06-27T08:25:16Z
38544,NA,NA,2024-05-29T23:00:00Z,ENERGY INNOVATOR,9758832,2024-05-27T06:55:02Z,NA,NA,YHQ4,SEAW,NA,NA,2024-05-27T06:55:12Z,2024-05-27T06:55:12Z
268187,NA,NA,2024-08-07T11:30:00Z,SAKURA SHUCHI,9330783,2024-08-07T01:25:01Z,NA,NA,OVPJ2,ASSPU,NA,NA,2024-08-07T01:25:21Z,2024-08-07T01:25:21Z
6883,NA,NA,2024-05-17T12:00:00Z,DEBONAIR,9635066,2024-05-17T11:55:02Z,NA,2024-05-17T11:30:00Z,OSV6,DGA,NA,2024-05-17T11:35:00Z,2024-05-17T11:55:14Z,2024-05-17T11:55:14Z
348638,NA,NA,2024-09-01T04:30:00Z,SPRING NEXUS,9595400,2024-08-31T08:55:01Z,NA,NA,PEBGC,AEBB,NA,NA,2024-08-31T08:55:06Z,2024-08-31T08:55:06Z
27485,NA,NA,2024-05-23T21:00:00Z,ESL KABIR,9535175,2024-05-23T20:55:01Z,NA,NA,AEHA,SEAE,NA,NA,2024-05-23T20:55:20Z,2024-05-23T20:55:20Z
38106,NA,NA,2024-05-28T13:00:00Z,NORMAND SCORPION,9417816,2024-05-27T02:25:01Z,NA,NA,AEW,BTSF1,NA,NA,2024-05-27T02:25:15Z,2024-05-27T02:25:15Z
384285,NA,NA,2024-09-11T05:00:00Z,MSC AMEERA III,9346017,2024-09-11T05:25:02Z,NA,2024-09-11T04:40:00Z,PWBGA,T206,2024-09-11T05:00:00Z,2024-09-11T04:55:00Z,2024-09-11T05:25:07Z,2024-09-11T05:25:07Z
5526,NA,NA,2024-05-18T13:00:00Z,SHENG HANG 009,9548988,2024-05-17T03:25:02Z,NA,NA,PWBGA,AWPA,NA,NA,2024-05-17T03:25:17Z,2024-05-17T03:25:17Z
39028,NA,NA,2024-05-28T07:15:00Z,ENJOY PROSPERITY,9545728,2024-05-27T14:25:01Z,NA,NA,PEBGC,AEBC,NA,NA,2024-05-27T14:25:13Z,2024-05-27T14:25:13Z
341054,NA,NA,2024-08-29T02:30:00Z,KREUZ 281,0,2024-08-29T04:55:02Z,2024-08-29T04:45:00Z,2024-08-29T01:50:00Z,P01,SEA7,2024-08-29T02:15:00Z,2024-08-29T01:50:00Z,2024-08-29T04:55:18Z,2024-08-29T04:55:18Z
170017,NA,NA,2024-07-07T11:00:00Z,DM BEA,9674763,2024-07-06T09:55:01Z,NA,NA,PEBGC,AWPB,NA,NA,2024-07-06T09:55:16Z,2024-07-06T09:55:16Z
80236,NA,NA,2024-06-09T09:15:00Z,YOU SHEN 8,9318682,2024-06-09T08:25:01Z,NA,2024-06-09T08:10:00Z,OCHV5,AWPA,NA,2024-06-09T08:10:00Z,2024-06-09T08:25:19Z,2024-06-09T08:25:19Z
344772,NA,NA,2024-08-30T04:45:00Z,OCEAN ZENON,9427029,2024-08-30T06:25:01Z,2024-08-30T06:00:00Z,2024-08-30T04:30:00Z,PEBGC,AEBB,2024-08-30T04:45:00Z,2024-08-30T04:40:00Z,2024-08-30T06:25:06Z,2024-08-30T06:25:06Z
159293,NA,NA,2024-07-02T23:00:00Z,PIGI,9447196,2024-07-02T19:55:01Z,NA,NA,PEBGB,AESPA,NA,NA,2024-07-02T19:55:20Z,2024-07-02T19:55:20Z
98934,NA,NA,2024-06-16T14:30:00Z,CTP MAKASSAR,9181742,2024-06-15T03:25:01Z,NA,NA,PEBGA,P31,NA,NA,2024-06-15T03:25:17Z,2024-06-15T03:25:17Z
94930,NA,NA,2024-06-13T22:00:00Z,HAI SOON 3,9608063,2024-06-13T22:55:02Z,NA,2024-06-13T22:10:00Z,AWPA,OTS4,2024-06-13T22:15:00Z,2024-06-13T22:10:00Z,2024-06-13T22:55:20Z,2024-06-13T22:55:20Z
169574,NA,NA,2024-07-06T06:30:00Z,TRITON EXPLORE,9343118,2024-07-06T06:55:01Z,NA,2024-07-06T06:25:00Z,PGBG,ASSPU,2024-07-06T06:30:00Z,2024-07-06T06:25:00Z,2024-07-06T06:55:17Z,2024-07-06T06:55:17Z
198277,NA,NA,2024-07-16T15:15:00Z,DEBONAIR,9635066,2024-07-16T15:55:01Z,NA,2024-07-16T15:10:00Z,AWQI,OSV9,2024-07-16T15:10:00Z,2024-07-16T15:10:00Z,2024-07-16T15:55:16Z,2024-07-16T15:55:16Z
213466,NA,NA,2024-07-21T05:00:00Z,NORA,9750983,2024-07-21T05:55:01Z,NA,2024-07-21T05:25:00Z,AEHA,SEAE,2024-07-21T05:30:00Z,2024-07-21T05:30:00Z,2024-07-21T05:55:21Z,2024-07-21T05:55:21Z
276959,NA,NA,2024-08-10T06:30:00Z,MOL PRESENCE,9444273,2024-08-09T14:55:01Z,NA,NA,PWBGA,P21,NA,NA,2024-08-09T14:55:22Z,2024-08-09T14:55:22Z
248338,NA,NA,2024-08-01T01:30:00Z,HUGO OLDENDORFF,9871098,2024-08-01T02:55:01Z,2024-08-01T02:45:00Z,2024-08-01T01:25:00Z,PEBGB,AEBB,2024-08-01T01:35:00Z,2024-08-01T01:30:00Z,2024-08-01T02:55:20Z,2024-08-01T02:55:20Z
6722,NA,NA,2024-05-17T12:30:00Z,SANTA CAROLINA,9800398,2024-05-17T10:25:01Z,2024-05-17T10:10:00Z,2024-05-17T09:15:00Z,AESPA,SEAW,2024-05-17T09:25:00Z,2024-05-17T09:15:00Z,2024-05-17T10:25:18Z,2024-05-17T10:25:18Z
190837,NA,NA,2024-07-14T10:00:00Z,HYUNDAI DYNASTY,9347578,2024-07-14T11:55:01Z,2024-07-14T11:30:00Z,2024-07-14T10:10:00Z,AEW,SEAE,2024-07-14T10:20:00Z,2024-07-14T10:15:00Z,2024-07-14T11:55:20Z,2024-07-14T11:55:20Z
240291,NA,NA,2024-07-30T01:30:00Z,HAWKS VICTORY,9297709,2024-07-29T12:25:01Z,NA,NA,PWBGA,AWPA,NA,NA,2024-07-29T12:25:19Z,2024-07-29T12:25:19Z
116941,NA,NA,2024-06-20T14:15:00Z,ARSINOE,9718739,2024-06-20T11:25:01Z,NA,NA,PEBGC,AEBC,NA,NA,2024-06-20T11:25:20Z,2024-06-20T11:25:20Z
261104,NA,NA,2024-08-05T01:45:00Z,LKI 309,9935571,2024-08-04T23:55:01Z,NA,NA,PJSB,APCDG,NA,NA,2024-08-04T23:55:22Z,2024-08-04T23:55:22Z
286935,NA,NA,2024-08-12T12:00:00Z,HE CHI,9611682,2024-08-12T16:25:02Z,2024-08-12T15:50:00Z,2024-08-12T12:00:00Z,AESPA,OTK18,2024-08-12T12:05:00Z,2024-08-12T12:05:00Z,2024-08-12T16:25:16Z,2024-08-12T16:25:16Z
124679,NA,NA,2024-06-22T23:30:00Z,KIRANA QUINTYA,9400796,2024-06-22T19:55:01Z,NA,NA,AWPB,OTS8,NA,NA,2024-06-22T19:55:18Z,2024-06-22T19:55:18Z
223173,NA,NA,2024-07-24T04:00:00Z,LNG ABALAMABIE,9690171,2024-07-24T03:55:02Z,NA,2024-07-24T03:35:00Z,ASSPU,SEAW,2024-07-24T03:45:00Z,2024-07-24T03:40:00Z,2024-07-24T03:55:18Z,2024-07-24T03:55:18Z
84351,NA,NA,2024-06-10T14:45:00Z,SEASMILE,9632820,2024-06-10T14:55:01Z,NA,2024-06-10T14:35:00Z,P10,SEA9,2024-06-10T14:50:00Z,2024-06-10T14:40:00Z,2024-06-10T14:55:20Z,2024-06-10T14:55:20Z
97536,NA,NA,2024-06-14T15:00:00Z,PACIFIC JADE,9893060,2024-06-14T15:55:01Z,2024-06-14T15:45:00Z,2024-06-14T14:50:00Z,ACGP,SEAE,2024-06-14T14:55:00Z,2024-06-14T14:55:00Z,2024-06-14T15:55:14Z,2024-06-14T15:55:14Z
233191,NA,NA,2024-07-30T07:00:00Z,OOCL ZHOUSHAN,9332195,2024-07-27T07:25:01Z,NA,NA,P31,SEAE,NA,NA,2024-07-27T07:25:20Z,2024-07-27T07:25:20Z
171837,NA,NA,2024-07-08T14:30:00Z,STARSHIP,9140293,2024-07-07T01:25:01Z,NA,NA,PEBGC,AWPA,NA,NA,2024-07-07T01:25:19Z,2024-07-07T01:25:19Z
8939,NA,NA,2024-05-20T03:00:00Z,OCEAN LOYALTY,9375238,2024-05-18T04:25:01Z,NA,NA,PJSB,AEBA,NA,NA,2024-05-18T04:25:14Z,2024-05-18T04:25:14Z
365813,NA,NA,2024-09-05T08:45:00Z,ALBEDO,9213313,2024-09-05T08:25:01Z,NA,2024-09-05T08:15:00Z,AESPA,SEAW,2024-09-05T08:25:00Z,2024-09-05T08:20:00Z,2024-09-05T08:25:08Z,2024-09-05T08:25:08Z
340200,NA,NA,2024-08-29T00:00:00Z,BLUE RIDGE HIGHWAY,9510151,2024-08-28T23:55:01Z,NA,2024-08-28T23:30:00Z,P14,SEAE,NA,2024-08-28T23:30:00Z,2024-08-28T23:55:12Z,2024-08-28T23:55:12Z
47876,NA,NA,2024-05-30T16:00:00Z,MSC GENERAL IV,9344708,2024-05-30T16:25:01Z,NA,2024-05-30T16:10:00Z,T210,SEA9,NA,2024-05-30T16:10:00Z,2024-05-30T16:25:14Z,2024-05-30T16:25:14Z
199873,NA,NA,2024-07-18T01:00:00Z,CYMONA STAR,9309485,2024-07-17T03:55:02Z,NA,NA,PEBGC,AESPA,NA,NA,2024-07-17T03:55:21Z,2024-07-17T03:55:21Z
370457,NA,NA,2024-09-06T17:30:00Z,YM TOTALITY,9860922,2024-09-06T17:25:01Z,NA,NA,P23,SEAE,NA,NA,2024-09-06T17:25:12Z,2024-09-06T17:25:12Z
339560,NA,NA,2024-08-28T17:30:00Z,PRINCESS A,9770579,2024-08-28T17:55:01Z,2024-08-28T17:25:00Z,2024-08-28T16:30:00Z,AEW,SEAW,2024-08-28T16:40:00Z,2024-08-28T16:30:00Z,2024-08-28T17:55:17Z,2024-08-28T17:55:17Z
105252,NA,NA,2024-06-17T02:00:00Z,GALUNGGUNG,9455791,2024-06-17T01:25:01Z,NA,2024-06-17T00:25:00Z,ASH,OSR1P,2024-06-17T00:50:00Z,2024-06-17T00:30:00Z,2024-06-17T01:25:14Z,2024-06-17T01:25:14Z
265480,NA,NA,2024-08-06T09:00:00Z,SHENG DA 77,8575934,2024-08-06T05:25:02Z,NA,NA,PJSB,APCDG,NA,NA,2024-08-06T05:25:20Z,2024-08-06T05:25:20Z
323604,NA,NA,2024-08-23T14:00:00Z,NAVIOS CHRYSALIS,9345960,2024-08-23T16:55:01Z,2024-08-23T16:35:00Z,2024-08-23T13:50:00Z,PWBGA,P10,2024-08-23T14:15:00Z,2024-08-23T14:15:00Z,2024-08-23T16:55:21Z,2024-08-23T16:55:21Z
283604,NA,NA,2024-08-11T15:00:00Z,EVER VANTAGE,9449314,2024-08-11T16:25:01Z,2024-08-11T16:05:00Z,2024-08-11T14:45:00Z,AEW,SEAE,2024-08-11T15:20:00Z,2024-08-11T15:15:00Z,2024-08-11T16:25:20Z,2024-08-11T16:25:20Z
14036,NA,NA,2024-05-19T21:30:00Z,GRACE,9325116,2024-05-19T21:25:01Z,NA,NA,PEBGB,AESPA,NA,NA,2024-05-19T21:25:21Z,2024-05-19T21:25:21Z
